family,model,MAE_median,MAE_lo,MAE_hi,RMSE_median,RMSE_lo,RMSE_hi,MedAE_median,MedAE_lo,MedAE_hi,R2_median,R2_lo,R2_hi,Pearson_median,Pearson_lo,Pearson_hi,Spearman_median,Spearman_lo,Spearman_hi
KenyonCells,Dummy,6.304436998093478,6.218721706159995,6.316858281818706,9.908192155329559,9.65195598911194,9.91129687133197,5.192096597145993,5.189352360043908,5.224355458036204,-2.5683969867351664e-05,-0.00014611681157172818,-1.4526306765461072e-05,,,,,,
KenyonCells,LinearRegression,14.026634489591197,12.991231237712691,14.215298887541582,18.093425943353292,16.80200399067993,19.284564853366103,11.252996092714227,10.194107185025224,11.696359207296446,-2.470135755033866,-2.7859946253607646,-1.8739046293244956,0.3880503866738233,0.36467574384613205,0.4541570433617166,0.3097233010142297,0.26386398342285616,0.3601669035394116
KenyonCells,ElasticNet,3.9416793511389123,3.8745377382628208,4.00850824153496,6.307750253072318,6.219516670791784,6.336145268078091,2.615408078196286,2.3281622510076954,2.8307159988904553,0.5913039537534228,0.5708889153355226,0.6062019346264194,0.8037750500427785,0.7921501979026391,0.8174777232224311,0.7553887831853455,0.7267741020152824,0.7908046435787319
KenyonCells,SVR,4.457225907312441,4.441377354240015,4.516437626272232,9.217967960286801,9.091725187837827,9.31573108773059,1.7746393082690175,1.6555816354424238,1.8207214319353904,0.12205928197222526,0.11258781604472534,0.1344410255634938,0.5435442101367541,0.5071526342512246,0.5447985700867775,0.8044987378311194,0.7409063970920506,0.8118130507487922
KenyonCells,RandomForest,2.693179824561404,2.659054945054945,2.8340131578947365,5.147896798438021,4.930855642039965,5.419432202245623,1.57,1.3450000000000006,1.62,0.7302199389204448,0.7008191096593668,0.7389778494866438,0.863708298467797,0.8392601331224683,0.8672158828012448,0.8446987498760664,0.8305112630701517,0.8565569532948063
KenyonCells,RandomForest_authors,4.101742508911102,3.9719206290372204,4.118016993465611,6.629651142275156,6.279630193852987,6.752786226648441,2.6501044768183633,2.123810259891797,3.0583097621800657,0.5525633682149824,0.5257029631663659,0.5985527902522161,0.7531405520249786,0.7273832236330053,0.7759295346241178,0.6242274181451706,0.553486644309164,0.7236903246350079
KenyonCells,XGBoost,2.7941469232173084,2.490004395604493,3.1236386920916215,5.095238741920802,4.655359354816691,5.697768100326679,1.3695204257965088,1.3371529579162598,1.436148464679718,0.7212840239064143,0.6695012322095504,0.7793740433162805,0.8494525678095893,0.8195180034070096,0.8863410199733821,0.8407755511087459,0.829276885066247,0.8535717161283951
OpticLobe,Dummy,6.923929624215302,6.912089046231201,6.936122556276375,10.621090852623741,10.602124517225352,10.670015744971348,5.658876669285153,5.653770620581304,5.664571877454831,-5.8135070777343145e-06,-7.114845653299895e-06,-3.418889615858234e-10,,,,,,
OpticLobe,LinearRegression,5.332997628440578,5.225249232595776,5.625685589020155,7.6564755817982055,7.613281678305773,9.06862655173705,3.824376149874233,3.715175969290133,4.0721002158591375,0.4784750471423418,0.2776370880599457,0.4894620985118264,0.7344912662838207,0.6741382789381571,0.748775904584912,0.6492285161214412,0.6230758972760665,0.6617658247599294
OpticLobe,ElasticNet,4.0841947996552435,4.008692082520273,4.169150341156434,6.686427939182286,6.583278692688085,6.811440176605285,2.553706151932018,2.481864567350006,2.597007720287155,0.6036762582103741,0.588634642129825,0.6144313008552212,0.8147999310820453,0.7962586325862548,0.8213676404790052,0.7763509076687707,0.7617848434876482,0.797932628915861
OpticLobe,SVR,4.554573667680819,4.513247512303804,4.6284460170809965,9.692857539626262,9.642348485037974,9.759909912959696,1.6701172535039648,1.5825556945746992,1.7122714244197441,0.16518678866660808,0.1633110714829542,0.17285254940785877,0.6015180480852338,0.5913385126875943,0.6091575183700213,0.8627923849822959,0.8458074171661328,0.8845219047404392
OpticLobe,RandomForest,2.688664571877455,2.577274155538099,2.8447604084838964,5.225615281167511,4.665431927139373,5.760559892487977,1.2800000000000002,1.1600000000000001,1.33,0.7601458316591228,0.7047889106148184,0.8088139861962376,0.874683717953508,0.8420278496162577,0.9027068048799252,0.880057183612232,0.8589251780759638,0.8849731947908089
OpticLobe,RandomForest_authors,3.8252884549138018,3.7069087734499746,4.17885264871307,6.565396448160544,6.180523781379812,7.584963189083297,2.289622963949752,2.141591198466268,2.3469438198678296,0.621388051210003,0.4881882764631027,0.6601651977773676,0.790174077435351,0.6991240571665212,0.8170076130456746,0.7131512291615332,0.7085246353623453,0.740910692808171
OpticLobe,XGBoost,2.7811511840151137,2.64206326773715,2.8478637609911757,4.987505939919232,4.680893254373631,5.41283651738707,1.2976946830749512,1.263843059539795,1.3298959732055664,0.7786986105146623,0.7393527810135487,0.8075446985203688,0.8827379694220203,0.8609147974329969,0.8993793547035918,0.8698821226219777,0.8487543323615618,0.8785297719199707
Monoaminergic,Dummy,9.402762994252164,9.190256410256412,9.471839464882946,12.863129909920897,12.411726179124406,12.93980983537071,8.181969949916528,8.132107023411372,8.279264214046822,-0.0006482003311145679,-0.0008684677198580459,-8.710069424799904e-05,,,,,,
Monoaminergic,LinearRegression,6.578927072145703,6.414958842130645,6.742697141304181,8.766333371637922,8.021376341373466,8.988758297823832,4.858320906360065,4.715186116916939,6.124940659206185,0.5355056040531436,0.4759714312756591,0.6114274327403981,0.7454685813580391,0.7209862266881562,0.7922903120059905,0.6678920509869442,0.6391008868945804,0.7190601821022743
Monoaminergic,ElasticNet,5.604079396543488,5.285767118315651,5.659996211648591,8.10928584332429,8.051996766014623,8.437432495145737,3.871872935519521,3.1856844487894285,3.990704719851046,0.578862193752658,0.5697061523328655,0.6118973167840309,0.784895867363904,0.770457362070148,0.8281185748931718,0.7787451316540828,0.7160306567573652,0.7991756902580485
Monoaminergic,SVR,7.2253577472489,6.99150564659497,7.602313340584123,12.959733144789405,12.39768287383726,13.202354687875745,2.849897558677873,2.4822122208797914,3.074682699180455,-0.015164990871748163,-0.04183321295336606,0.0016148947659448964,0.4392477581641573,0.41871416876915263,0.47264758871487766,0.5707788314334837,0.5079336054794651,0.6144379910352769
Monoaminergic,RandomForest,4.833422818791947,4.646845637583892,4.999533333333332,7.789258544089204,7.453565607711276,8.374025475639938,2.7249999999999996,2.27,3.21,0.6373500308820306,0.5445029144886069,0.6644922872363577,0.8102392548252367,0.7581572298683346,0.8391569600451312,0.8187248558796697,0.7927861645753789,0.8591074685719712
Monoaminergic,RandomForest_authors,5.66107562777398,5.329456404717795,5.8123619132178375,8.742610039635501,7.739268656921021,9.01885950714927,3.266214875523452,3.149908806596423,3.57141679126604,0.5294603369473727,0.4934223457117659,0.6379701671859033,0.741045517871583,0.7195790688871356,0.8401253559871017,0.7133790565449929,0.6501469462108108,0.7473866325689926
Monoaminergic,XGBoost,4.684792675077915,4.564930193976268,5.156423621475697,7.810187640533076,7.583270583573699,8.7113249361999,2.393278479576111,2.20298433303833,2.5199389457702637,0.6353985914984621,0.5078199730018962,0.6524177266631215,0.7980913664396361,0.7161508476208984,0.8235025579563752,0.7930819952966929,0.760815589632139,0.8192151920020656
Glia,Dummy,17.331625686401388,17.296325816159598,17.356178905307704,19.270438757169792,19.224360619972796,19.28052602051769,17.243209360635188,17.22816548265775,17.251672240802677,-7.498989369025821e-06,-1.0063774041890738e-05,-5.357503034542077e-07,,,,,,
Glia,LinearRegression,20.62228162094779,19.022995026682818,28.563514987204485,38.8920293014693,28.603085763590908,97.0899361152306,14.11263551683623,13.544018890409886,15.013962711902185,-3.085685934316434,-24.506352209581628,-1.203164582134208,0.4009455685761793,0.1676461865470476,0.46554348524320266,0.561083807289339,0.5197489886626495,0.6259039147838714
Glia,ElasticNet,7.845409633001144,7.5273745874682385,8.111217963815488,10.025073574145937,9.75439514602043,10.297527253880196,6.072954870908217,6.008088833591651,7.014411573178595,0.7296430034392638,0.7144467780179085,0.7437866617985465,0.8654503704812536,0.8579379288046929,0.8767770819648038,0.877112164511137,0.8634896518924007,0.8962308198059525
Glia,SVR,12.383474489124872,12.08802516965326,12.58317164794288,17.133594014492157,17.00594399048254,17.30200313446347,8.401630815471876,7.101923210138016,8.930359429629576,0.20846734100746156,0.19139477440374486,0.22124197627964493,0.6742708147156804,0.6337610534285243,0.6897954438310293,0.7444947915696022,0.6886103769358666,0.7707978545156414
Glia,RandomForest,5.798428093645485,5.548862876254181,6.111856187290971,8.616458564513609,7.91324579613829,9.027948234848473,3.8450000000000015,3.6550000000000007,4.21,0.8000696287320379,0.779848377080138,0.8315497005386137,0.8983207473860997,0.8868197860597827,0.9161167825821009,0.9130870959654942,0.900514713189883,0.9166112971290672
Glia,RandomForest_authors,8.658983910928,8.435851624923417,9.155418762618721,11.54409562109129,11.197952365537926,12.152626931204047,6.196822955071017,5.9226454904612815,7.1174328696249685,0.641143450976476,0.6010815686189448,0.6626818518399523,0.8030773570719991,0.7803210805227668,0.8264183841913444,0.7864944708500318,0.7774869916996249,0.8164567726711239
Glia,XGBoost,5.8302310948169795,5.623376570838226,6.055801598604357,8.644546811755209,8.203404736562359,9.09405549035355,3.369504451751709,3.0554120540618896,3.7237534523010254,0.7989764506427144,0.7772917196915823,0.8187870110051663,0.8944872600342835,0.8827592422066262,0.9049007983210813,0.8991459497984495,0.8948341257855326,0.9032057111252003
Peptidergic,Dummy,9.315320457208953,9.289086775293672,9.364328873871818,12.532100341015482,12.501299417166145,12.550057928324705,7.095172413793103,7.089531680440771,7.1005509641873275,-2.1286880902415817e-07,-5.239795475509013e-06,-1.9951830410036564e-08,,,,,,
Peptidergic,LinearRegression,7.981720262843021,7.4171708998671235,8.787903965210608,10.3341067654785,9.72829317797703,11.790196525334625,6.381078230348786,5.759581324023003,6.720656048817787,0.32195783342135464,0.11489192700332407,0.3944318919517117,0.654990887029751,0.5817683479174385,0.6719053098331587,0.5992845136386463,0.5567534866266962,0.6559800664511704
Peptidergic,ElasticNet,5.696207284082226,5.4969076915782455,6.467800940209466,8.204322030632744,8.134976103669224,9.758377120554421,4.169362008380375,3.677023423828854,4.4755638500589585,0.5726376959664465,0.3936695082011774,0.5788587322580341,0.7855333137917331,0.6307991537047553,0.7991831126965395,0.7356795871408596,0.693037368878321,0.815557016142754
Peptidergic,SVR,7.634964890267165,7.356436171035745,7.769403450041035,12.538728574681192,12.486534777271913,12.616915660640363,4.041027413819558,3.4063455165247865,4.088334776833404,0.00032743471603235985,-0.013586023726588792,0.007800282063684438,0.3897843703985676,0.33443525056926793,0.5045187621216187,0.5048960948952691,0.42635251949390657,0.6671927914702752
Peptidergic,RandomForest,4.335934065934066,4.0078571428571435,4.791270718232044,7.199889079869977,6.296552999088443,7.787818225098884,2.4800000000000004,2.33,2.7199999999999998,0.6699301732991163,0.6140359549653849,0.7463146306885409,0.8241943046961194,0.7872772285217249,0.8876889415314404,0.7835975459621123,0.7530935092245381,0.8265795648302738
Peptidergic,RandomForest_authors,5.657830597395913,4.965712975506595,6.039522441076184,7.954410866607821,7.436801475670961,9.188122865375583,3.6832342433742626,3.4256887115896077,3.9995159994484037,0.5951391952856077,0.46275940042866537,0.6461150682202318,0.776875968005973,0.6820563060553444,0.826566262966745,0.6425528802522879,0.48292207590553665,0.7165955495387288
Peptidergic,XGBoost,4.473990037273204,4.156015719952328,5.255217657563436,7.532688137250964,6.728447573660109,8.456536112720453,2.2747303247451782,2.114854723215103,2.6727097034454346,0.6387114580081661,0.5449068981347391,0.7103193806950718,0.799779093817458,0.739861829870576,0.8442884204768373,0.8012936836864669,0.7788608893824618,0.8361222421868698
Clock,Dummy,9.72772549163218,9.590022172949004,10.008869179600888,12.990610601305788,12.872491256711466,13.616428961877487,8.753799392097264,8.718181818181819,8.842424242424242,-0.0001079462500652717,-0.0008126818228628707,-3.566378445163387e-05,,,,,,
Clock,LinearRegression,6.26362906123997,6.135861375992209,6.489437392095586,8.474160924166462,8.438907487831003,8.839841644442455,4.35629013956498,3.9702787210640906,5.572223046796736,0.5750971111886004,0.5414148508168672,0.6125441520913155,0.7594016546615587,0.7388249314933018,0.7868432663590065,0.6531767080352759,0.6415721569713971,0.8077552301583046
Clock,ElasticNet,6.74681381320306,5.78081023121276,7.263431090869471,9.669281105668077,8.829867710144864,10.01581808754318,4.314685553599247,3.7148262036288067,5.274987188473064,0.4889780273744416,0.41128666637785427,0.5290920928834788,0.7251881948660736,0.6458228781994402,0.7569670103204693,0.7327269385458599,0.629456281308725,0.8273887048951476
Clock,SVR,7.835978929761981,7.379053531781942,7.915331076295267,13.382360807376367,12.998026016238219,13.864327475896646,3.294432550869632,2.642715555183379,3.631779468850686,-0.0449100353055194,-0.10126666317545263,-0.020428060481023413,0.4059109411816896,0.2942271739365886,0.5343365524656372,0.5581292333290392,0.37183228204237434,0.7285167272557057
Clock,RandomForest,5.953855421686747,5.213780487804878,6.447073170731707,9.065544997271866,8.568619618624385,9.13216584453262,3.57,3.05,4.0,0.5140486744262365,0.5036186856905205,0.5764283878122212,0.7591942398348335,0.7550872780980935,0.8392194639831503,0.7830231996297969,0.7472318623975045,0.8645592644726791
Clock,RandomForest_authors,7.290484006654521,6.5598061053496854,8.000305589188905,10.643754847131163,9.56294156470189,11.670958778798894,4.498812461607496,3.8276352103732645,5.12450817406185,0.3351544868062747,0.19174804968385362,0.4580596875254739,0.6105846765280877,0.4405821320178671,0.7044281819283439,0.6623538373169278,0.5131792244751733,0.701488538488791
Clock,XGBoost,5.956884819696226,5.216752072404389,6.257958788470161,9.285225794345319,8.852435237475378,9.976921126001837,3.244701862335205,2.4942662715911865,3.70841383934021,0.5249220035759936,0.3987976540633028,0.5349933032380312,0.7272726897154174,0.6366727148741942,0.7387577247152579,0.7063911239667863,0.6558682389356599,0.810703844262428
